2324,TED2014,Barry Schwartz,The way we think about work is broken
2814,TEDxPSU,Liz Hajek,What rivers can tell us about the earth's history
270,TED2008,Paul Collier,"The ""bottom billion"""
2537,TEDxPSU,Julia Galef,Why you think you're right -- even if you're wrong
1309,TEDMED 2011,Sheila Nirenberg,A prosthetic eye to treat blindness
1533,TEDGlobal 2012,Margaret Heffernan,Dare to disagree
2430,TEDxUM,Gregory Heyworth,How I'm discovering the secrets of ancient texts
2538,TED2016,John Legend,"""Redemption Song"""
628,TEDGlobal 2009,James Balog,Time-lapse proof of extreme ice loss
1411,TED2012,Jack Choi,On the virtual dissection table
1381,TED2012,Jennifer Pahlka,Coding a better government
2314,TED2015,Christopher Soghoian,How to avoid surveillance ... with the phone in your pocket
1139,TEDxCaltech,Sean Carroll,Distant time and the hint of a multiverse
2611,TED2016,Silk Road Ensemble + Rhiannon Giddens,"""St. James Infirmary Blues"""
88,TED2008,Sxip Shirey + Rachelle Garniez,"A performance with breath, music, passion"
1494,TEDGlobal 2012,Elyn Saks,A tale of mental illness -- from the inside
2039,TED2014,Margaret Gould Stewart,"How giant websites design for you (and a billion others, too)"
1911,TED@BCG San Francisco,Yves Morieux,"As work gets more complex, 6 rules to simplify"
2482,TEDActive 2015,Joshua Prager,Wisdom from great writers on every year of life
2842,TED2017,Susan Pinker,The secret to living longer may be your social life
2096,TED@NYC,Matthew O'Reilly,“Am I dying?” The honest answer.
538,TED2009,Seth Godin,The tribes we lead
1461,TEDxSummit,William Noel,Revealing the lost codex of Archimedes
277,TEDxTC,Nate Garvis,"Change our culture, change our world"
2111,TEDMED 2014,Kitra Cahana,"My father, locked in his body but soaring free"
885,TED2010,Margaret Gould Stewart,How YouTube thinks about copyright
2198,TEDxColumbus,James A. White Sr.,The little problem I had renting a house
2512,TED2016,Joseph Ravenell,How barbershops can keep men healthy
2602,TEDxMontreal,Trevor Copp and Jeff Fox,Ballroom dance that breaks gender roles
881,TED2010,Stewart Brand + Mark Z. Jacobson,Debate: Does the world need nuclear energy?
498,TED2001,John Wooden,The difference between winning and succeeding
716,TEDGlobal 2009,James Geary,Metaphorically speaking
283,TEDxCanberra,Stephen Coleman,"Non-lethal weapons, a moral hazard?"
1465,TEDxSanJoseCA,Seth Shostak,ET is (probably) out there -- get ready
1770,TEDGlobal 2013,Juliana Rotich,"Meet BRCK, Internet access built for Africa"
2811,TED2017,Rabbi Lord Jonathan Sacks,"How we can face the future without fear, together"
